0,1,2,3,4,5,6
USA,Female,18 to 24,Unpaid,Myself Only,Neither IT nor Finance,13000
USA,Female,18 to 24,Unpaid,Myself Only,Finance,13000
USA,Female,18 to 24,Unpaid,Myself Only,IT,13000
