,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
67,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,25 to 34,connected to any,45000
68,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,18 to 24,connected to big companies,0
69,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,18 to 24,connected to any,8900
70,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to big companies,5100
71,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to any,73000
72,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,55+,connected to big companies,0
73,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,55+,connected to any,910
74,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,35 to 54,connected to big companies,2200
75,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,35 to 54,connected to any,13000
76,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,25 to 34,connected to big companies,2400
77,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,25 to 34,connected to any,48000
78,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,18 to 24,connected to big companies,0
79,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,18 to 24,connected to any,10000
80,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to big companies,2700
81,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to any,44000
82,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,55+,connected to big companies,0
83,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,55+,connected to any,540
84,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,35 to 54,connected to big companies,1200
85,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,35 to 54,connected to any,6900
86,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,25 to 34,connected to big companies,1200
87,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,25 to 34,connected to any,28000
88,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,18 to 24,connected to big companies,0
89,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,18 to 24,connected to any,7500
90,PHL,Any Gender,IT,Any Job Seniority,Myself Only,Any Age Range,connected to big companies,380
91,PHL,Any Gender,IT,Any Job Seniority,Myself Only,Any Age Range,connected to any,12000
92,PHL,Any Gender,IT,Any Job Seniority,Myself Only,55+,connected to big companies,0
93,PHL,Any Gender,IT,Any Job Seniority,Myself Only,55+,connected to any,0
94,PHL,Any Gender,IT,Any Job Seniority,Myself Only,35 to 54,connected to big companies,0
95,PHL,Any Gender,IT,Any Job Seniority,Myself Only,35 to 54,connected to any,1300
96,PHL,Any Gender,IT,Any Job Seniority,Myself Only,25 to 34,connected to big companies,0
97,PHL,Any Gender,IT,Any Job Seniority,Myself Only,25 to 34,connected to any,7300
98,PHL,Any Gender,IT,Any Job Seniority,Myself Only,18 to 24,connected to big companies,0
99,PHL,Any Gender,IT,Any Job Seniority,Myself Only,18 to 24,connected to any,3000
100,PHL,Any Gender,IT,Owner,Any Company Size,Any Age Range,connected to big companies,2000
101,PHL,Any Gender,IT,Owner,Any Company Size,Any Age Range,connected to any,17000
102,PHL,Any Gender,IT,Owner,Any Company Size,55+,connected to big companies,0
103,PHL,Any Gender,IT,Owner,Any Company Size,55+,connected to any,710
104,PHL,Any Gender,IT,Owner,Any Company Size,35 to 54,connected to big companies,1100
105,PHL,Any Gender,IT,Owner,Any Company Size,35 to 54,connected to any,5600
106,PHL,Any Gender,IT,Owner,Any Company Size,25 to 34,connected to big companies,660
107,PHL,Any Gender,IT,Owner,Any Company Size,25 to 34,connected to any,9200
108,PHL,Any Gender,IT,Owner,Any Company Size,18 to 24,connected to big companies,0
109,PHL,Any Gender,IT,Owner,Any Company Size,18 to 24,connected to any,1400
110,PHL,Any Gender,IT,Owner,"10,001+ employees",Any Age Range,connected to big companies,0
111,PHL,Any Gender,IT,Owner,"10,001+ employees",Any Age Range,connected to any,1600
112,PHL,Any Gender,IT,Owner,"10,001+ employees",55+,connected to big companies,0
113,PHL,Any Gender,IT,Owner,"10,001+ employees",55+,connected to any,0
114,PHL,Any Gender,IT,Owner,"10,001+ employees",35 to 54,connected to big companies,0
115,PHL,Any Gender,IT,Owner,"10,001+ employees",35 to 54,connected to any,490
