0,1,2,3,4,5,6
GBR,IT,Male,35 to 54,CXO,51-200 employees,4900
GBR,IT,Male,35 to 54,CXO,11-50 employees,8600
GBR,IT,Male,35 to 54,CXO,2-10 employees,7700
GBR,IT,Male,35 to 54,CXO,Myself Only,710
GBR,IT,Male,35 to 54,VP,"10,001+ employees",4200
GBR,IT,Male,35 to 54,VP,"5001-10,000 employees",810
GBR,IT,Male,35 to 54,VP,1001-5000 employees,2400
GBR,IT,Male,35 to 54,VP,501-1000 employees,1200
GBR,IT,Male,35 to 54,VP,201-500 employees,1900
GBR,IT,Male,35 to 54,VP,51-200 employees,3600
GBR,IT,Male,35 to 54,VP,11-50 employees,6300
GBR,IT,Male,35 to 54,VP,2-10 employees,7400
GBR,IT,Male,35 to 54,VP,Myself Only,730
GBR,IT,Male,35 to 54,Director,"10,001+ employees",21000
GBR,IT,Male,35 to 54,Director,"5001-10,000 employees",4100
GBR,IT,Male,35 to 54,Director,1001-5000 employees,10000
GBR,IT,Male,35 to 54,Director,501-1000 employees,5000
GBR,IT,Male,35 to 54,Director,201-500 employees,7900
GBR,IT,Male,35 to 54,Director,51-200 employees,14000
GBR,IT,Male,35 to 54,Director,11-50 employees,20000
GBR,IT,Male,35 to 54,Director,2-10 employees,21000
GBR,IT,Male,35 to 54,Director,Myself Only,2700
GBR,IT,Male,35 to 54,Manager,"10,001+ employees",22000
GBR,IT,Male,35 to 54,Manager,"5001-10,000 employees",3000
GBR,IT,Male,35 to 54,Manager,1001-5000 employees,7600
GBR,IT,Male,35 to 54,Manager,501-1000 employees,2900
GBR,IT,Male,35 to 54,Manager,201-500 employees,4300
GBR,IT,Male,35 to 54,Manager,51-200 employees,6300
GBR,IT,Male,35 to 54,Manager,11-50 employees,6200
GBR,IT,Male,35 to 54,Manager,2-10 employees,3900
GBR,IT,Male,35 to 54,Manager,Myself Only,640
GBR,IT,Male,35 to 54,Senior,"10,001+ employees",63000
GBR,IT,Male,35 to 54,Senior,"5001-10,000 employees",9400
GBR,IT,Male,35 to 54,Senior,1001-5000 employees,24000
GBR,IT,Male,35 to 54,Senior,501-1000 employees,9800
GBR,IT,Male,35 to 54,Senior,201-500 employees,15000
GBR,IT,Male,35 to 54,Senior,51-200 employees,22000
GBR,IT,Male,35 to 54,Senior,11-50 employees,19000
GBR,IT,Male,35 to 54,Senior,2-10 employees,8800
GBR,IT,Male,35 to 54,Senior,Myself Only,1600
GBR,IT,Male,35 to 54,Entry,"10,001+ employees",31000
GBR,IT,Male,35 to 54,Entry,"5001-10,000 employees",3900
GBR,IT,Male,35 to 54,Entry,1001-5000 employees,12000
GBR,IT,Male,35 to 54,Entry,501-1000 employees,4800
GBR,IT,Male,35 to 54,Entry,201-500 employees,7800
GBR,IT,Male,35 to 54,Entry,51-200 employees,12000
GBR,IT,Male,35 to 54,Entry,11-50 employees,12000
GBR,IT,Male,35 to 54,Entry,2-10 employees,5700
GBR,IT,Male,35 to 54,Entry,Myself Only,1300
GBR,IT,Male,35 to 54,Training,"10,001+ employees",0
GBR,IT,Male,35 to 54,Training,"5001-10,000 employees",0
GBR,IT,Male,35 to 54,Training,1001-5000 employees,0
GBR,IT,Male,35 to 54,Training,501-1000 employees,0
GBR,IT,Male,35 to 54,Training,201-500 employees,0
GBR,IT,Male,35 to 54,Training,51-200 employees,0
GBR,IT,Male,35 to 54,Training,11-50 employees,0
GBR,IT,Male,35 to 54,Training,2-10 employees,0
GBR,IT,Male,35 to 54,Training,Myself Only,0
GBR,IT,Male,35 to 54,Unpaid,"10,001+ employees",310
GBR,IT,Male,35 to 54,Unpaid,"5001-10,000 employees",0
GBR,IT,Male,35 to 54,Unpaid,1001-5000 employees,0
GBR,IT,Male,35 to 54,Unpaid,501-1000 employees,0
GBR,IT,Male,35 to 54,Unpaid,201-500 employees,0
GBR,IT,Male,35 to 54,Unpaid,51-200 employees,0
GBR,IT,Male,35 to 54,Unpaid,11-50 employees,0
GBR,IT,Male,35 to 54,Unpaid,2-10 employees,0
GBR,IT,Male,35 to 54,Unpaid,Myself Only,0
GBR,IT,Male,25 to 34,Owner,"10,001+ employees",1300
GBR,IT,Male,25 to 34,Owner,"5001-10,000 employees",0
GBR,IT,Male,25 to 34,Owner,1001-5000 employees,950
GBR,IT,Male,25 to 34,Owner,501-1000 employees,390
GBR,IT,Male,25 to 34,Owner,201-500 employees,790
GBR,IT,Male,25 to 34,Owner,51-200 employees,1600
GBR,IT,Male,25 to 34,Owner,11-50 employees,3900
