,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
76,IND,Any Gender,Any Company Industry,Any Age Range,Senior,51-200 employees,1000000
77,IND,Any Gender,Any Company Industry,Any Age Range,Senior,11-50 employees,890000
78,IND,Any Gender,Any Company Industry,Any Age Range,Senior,2-10 employees,510000
79,IND,Any Gender,Any Company Industry,Any Age Range,Senior,Myself Only,130000
80,IND,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,15000000
81,IND,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",3400000
82,IND,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",530000
83,IND,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,1200000
84,IND,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,580000
85,IND,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,800000
86,IND,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,1200000
87,IND,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,1200000
88,IND,Any Gender,Any Company Industry,Any Age Range,Entry,2-10 employees,750000
89,IND,Any Gender,Any Company Industry,Any Age Range,Entry,Myself Only,230000
90,IND,Any Gender,Any Company Industry,Any Age Range,Training,Any Company Size,1400000
91,IND,Any Gender,Any Company Industry,Any Age Range,Training,"10,001+ employees",220000
92,IND,Any Gender,Any Company Industry,Any Age Range,Training,"5001-10,000 employees",44000
93,IND,Any Gender,Any Company Industry,Any Age Range,Training,1001-5000 employees,110000
94,IND,Any Gender,Any Company Industry,Any Age Range,Training,501-1000 employees,66000
95,IND,Any Gender,Any Company Industry,Any Age Range,Training,201-500 employees,82000
96,IND,Any Gender,Any Company Industry,Any Age Range,Training,51-200 employees,130000
97,IND,Any Gender,Any Company Industry,Any Age Range,Training,11-50 employees,110000
98,IND,Any Gender,Any Company Industry,Any Age Range,Training,2-10 employees,81000
99,IND,Any Gender,Any Company Industry,Any Age Range,Training,Myself Only,37000
100,IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,Any Company Size,310000
101,IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,"10,001+ employees",30000
102,IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,"5001-10,000 employees",3400
103,IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,1001-5000 employees,6300
