,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
65,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,6800
66,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,8800
67,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,9000
68,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,6200
69,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,830
70,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,410000
71,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",63000
72,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",15000
73,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,1001-5000 employees,36000
74,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,501-1000 employees,22000
75,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,201-500 employees,26000
76,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,51-200 employees,35000
77,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,11-50 employees,34000
78,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,2-10 employees,19000
79,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,Myself Only,3300
80,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,680000
81,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",100000
82,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",21000
83,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,47000
84,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,30000
85,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,37000
86,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,49000
87,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,54000
88,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,2-10 employees,35000
89,VNM,Any Gender,Any Company Industry,Any Age Range,Entry,Myself Only,7900
90,VNM,Any Gender,Any Company Industry,Any Age Range,Training,Any Company Size,80000
91,VNM,Any Gender,Any Company Industry,Any Age Range,Training,"10,001+ employees",12000
92,VNM,Any Gender,Any Company Industry,Any Age Range,Training,"5001-10,000 employees",1900
93,VNM,Any Gender,Any Company Industry,Any Age Range,Training,1001-5000 employees,7300
94,VNM,Any Gender,Any Company Industry,Any Age Range,Training,501-1000 employees,5600
95,VNM,Any Gender,Any Company Industry,Any Age Range,Training,201-500 employees,3600
96,VNM,Any Gender,Any Company Industry,Any Age Range,Training,51-200 employees,4600
