0,1,2,3,4,5
GBR,Any Gender,IT,Owner,connected to any,110000
GBR,Any Gender,IT,Partner,connected to big companies,10000
GBR,Any Gender,IT,Partner,connected to any,21000
GBR,Any Gender,IT,CXO,connected to big companies,23000
GBR,Any Gender,IT,CXO,connected to any,57000
GBR,Any Gender,IT,VP,connected to big companies,22000
GBR,Any Gender,IT,VP,connected to any,66000
GBR,Any Gender,IT,Director,connected to big companies,88000
GBR,Any Gender,IT,Director,connected to any,230000
GBR,Any Gender,IT,Manager,connected to big companies,47000
GBR,Any Gender,IT,Manager,connected to any,170000
GBR,Any Gender,IT,Senior,connected to big companies,160000
GBR,Any Gender,IT,Senior,connected to any,620000
GBR,Any Gender,IT,Entry,connected to big companies,73000
GBR,Any Gender,IT,Entry,connected to any,620000
GBR,Any Gender,IT,Training,connected to big companies,1600
GBR,Any Gender,IT,Training,connected to any,16000
GBR,Any Gender,IT,Unpaid,connected to big companies,1800
GBR,Any Gender,IT,Unpaid,connected to any,49000
GBR,Male,IT,Any Job Seniority,connected to big companies,310000
GBR,Male,IT,Any Job Seniority,connected to any,1400000
GBR,Male,IT,Owner,connected to big companies,23000
GBR,Male,IT,Owner,connected to any,81000
GBR,Male,IT,Partner,connected to big companies,7700
GBR,Male,IT,Partner,connected to any,15000
GBR,Male,IT,CXO,connected to big companies,19000
GBR,Male,IT,CXO,connected to any,44000
GBR,Male,IT,VP,connected to big companies,18000
GBR,Male,IT,VP,connected to any,52000
GBR,Male,IT,Director,connected to big companies,66000
GBR,Male,IT,Director,connected to any,170000
GBR,Male,IT,Manager,connected to big companies,31000
GBR,Male,IT,Manager,connected to any,110000
GBR,Male,IT,Senior,connected to big companies,110000
GBR,Male,IT,Senior,connected to any,380000
GBR,Male,IT,Entry,connected to big companies,48000
GBR,Male,IT,Entry,connected to any,370000
GBR,Male,IT,Training,connected to big companies,870
GBR,Male,IT,Training,connected to any,9000
GBR,Male,IT,Unpaid,connected to big companies,1500
GBR,Male,IT,Unpaid,connected to any,31000
GBR,Female,IT,Any Job Seniority,connected to big companies,110000
GBR,Female,IT,Any Job Seniority,connected to any,600000
GBR,Female,IT,Owner,connected to big companies,4800
GBR,Female,IT,Owner,connected to any,19000
GBR,Female,IT,Partner,connected to big companies,1800
GBR,Female,IT,Partner,connected to any,4300
GBR,Female,IT,CXO,connected to big companies,3100
GBR,Female,IT,CXO,connected to any,8200
GBR,Female,IT,VP,connected to big companies,3200
GBR,Female,IT,VP,connected to any,10000
GBR,Female,IT,Director,connected to big companies,18000
GBR,Female,IT,Director,connected to any,53000
GBR,Female,IT,Manager,connected to big companies,14000
GBR,Female,IT,Manager,connected to any,53000
GBR,Female,IT,Senior,connected to big companies,43000
GBR,Female,IT,Senior,connected to any,190000
GBR,Female,IT,Entry,connected to big companies,20000
GBR,Female,IT,Entry,connected to any,180000
GBR,Female,IT,Training,connected to big companies,610
GBR,Female,IT,Training,connected to any,5000
