0,1,2,3,4,5,6
IND,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,15000000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",3400000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",530000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,1200000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,580000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,800000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,1200000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,1200000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,2-10 employees,750000
IND,Any Gender,Any Company Industry,Any Age Range,Entry,Myself Only,230000
IND,Any Gender,Any Company Industry,Any Age Range,Training,Any Company Size,1400000
IND,Any Gender,Any Company Industry,Any Age Range,Training,"10,001+ employees",220000
IND,Any Gender,Any Company Industry,Any Age Range,Training,"5001-10,000 employees",44000
IND,Any Gender,Any Company Industry,Any Age Range,Training,1001-5000 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,Training,501-1000 employees,66000
IND,Any Gender,Any Company Industry,Any Age Range,Training,201-500 employees,82000
IND,Any Gender,Any Company Industry,Any Age Range,Training,51-200 employees,130000
IND,Any Gender,Any Company Industry,Any Age Range,Training,11-50 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,Training,2-10 employees,81000
IND,Any Gender,Any Company Industry,Any Age Range,Training,Myself Only,37000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,Any Company Size,310000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,"10,001+ employees",30000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,"5001-10,000 employees",3400
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,1001-5000 employees,6300
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,501-1000 employees,4600
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,201-500 employees,6100
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,51-200 employees,17000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,11-50 employees,12000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,2-10 employees,16000
IND,Any Gender,Any Company Industry,Any Age Range,Unpaid,Myself Only,28000
IND,Any Gender,Any Company Industry,55+,Any Job Seniority,Any Company Size,790000
IND,Any Gender,Any Company Industry,55+,Any Job Seniority,"10,001+ employees",120000
