0,1,2,3,4,5,6
VNM,Any Gender,Any Age Range,Partner,51-200 employees,IT,400
VNM,Any Gender,Any Age Range,Partner,11-50 employees,Neither IT nor Finance,520
VNM,Any Gender,Any Age Range,Partner,11-50 employees,Finance,670
VNM,Any Gender,Any Age Range,Partner,11-50 employees,IT,660
VNM,Any Gender,Any Age Range,Partner,2-10 employees,Neither IT nor Finance,330
VNM,Any Gender,Any Age Range,Partner,2-10 employees,Finance,430
VNM,Any Gender,Any Age Range,Partner,2-10 employees,IT,460
VNM,Any Gender,Any Age Range,Partner,Myself Only,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,Myself Only,Finance,0
VNM,Any Gender,Any Age Range,Partner,Myself Only,IT,0
VNM,Any Gender,Any Age Range,CXO,Any Company Size,Neither IT nor Finance,30000
VNM,Any Gender,Any Age Range,CXO,Any Company Size,Finance,37000
VNM,Any Gender,Any Age Range,CXO,Any Company Size,IT,33000
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",Neither IT nor Finance,1400
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",Finance,2200
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",IT,1900
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Neither IT nor Finance,360
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Finance,440
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",IT,490
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,Neither IT nor Finance,990
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,Finance,1400
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,IT,1300
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,Neither IT nor Finance,650
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,Finance,950
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,IT,790
VNM,Any Gender,Any Age Range,CXO,201-500 employees,Neither IT nor Finance,1200
VNM,Any Gender,Any Age Range,CXO,201-500 employees,Finance,1700
VNM,Any Gender,Any Age Range,CXO,201-500 employees,IT,1300
VNM,Any Gender,Any Age Range,CXO,51-200 employees,Neither IT nor Finance,1900
VNM,Any Gender,Any Age Range,CXO,51-200 employees,Finance,2800
VNM,Any Gender,Any Age Range,CXO,51-200 employees,IT,2200
VNM,Any Gender,Any Age Range,CXO,11-50 employees,Neither IT nor Finance,3200
VNM,Any Gender,Any Age Range,CXO,11-50 employees,Finance,4600
VNM,Any Gender,Any Age Range,CXO,11-50 employees,IT,3500
VNM,Any Gender,Any Age Range,CXO,2-10 employees,Neither IT nor Finance,2200
VNM,Any Gender,Any Age Range,CXO,2-10 employees,Finance,3000
VNM,Any Gender,Any Age Range,CXO,2-10 employees,IT,2400
VNM,Any Gender,Any Age Range,CXO,Myself Only,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,CXO,Myself Only,Finance,0
VNM,Any Gender,Any Age Range,CXO,Myself Only,IT,0
VNM,Any Gender,Any Age Range,VP,Any Company Size,Neither IT nor Finance,23000
VNM,Any Gender,Any Age Range,VP,Any Company Size,Finance,27000
VNM,Any Gender,Any Age Range,VP,Any Company Size,IT,25000
VNM,Any Gender,Any Age Range,VP,"10,001+ employees",Neither IT nor Finance,3100
VNM,Any Gender,Any Age Range,VP,"10,001+ employees",Finance,4300
VNM,Any Gender,Any Age Range,VP,"10,001+ employees",IT,3900
VNM,Any Gender,Any Age Range,VP,"5001-10,000 employees",Neither IT nor Finance,610
VNM,Any Gender,Any Age Range,VP,"5001-10,000 employees",Finance,740
VNM,Any Gender,Any Age Range,VP,"5001-10,000 employees",IT,700
VNM,Any Gender,Any Age Range,VP,1001-5000 employees,Neither IT nor Finance,1300
VNM,Any Gender,Any Age Range,VP,1001-5000 employees,Finance,1700
VNM,Any Gender,Any Age Range,VP,1001-5000 employees,IT,1600
VNM,Any Gender,Any Age Range,VP,501-1000 employees,Neither IT nor Finance,700
VNM,Any Gender,Any Age Range,VP,501-1000 employees,Finance,860
VNM,Any Gender,Any Age Range,VP,501-1000 employees,IT,810
VNM,Any Gender,Any Age Range,VP,201-500 employees,Neither IT nor Finance,960
VNM,Any Gender,Any Age Range,VP,201-500 employees,Finance,1300
VNM,Any Gender,Any Age Range,VP,201-500 employees,IT,1100
VNM,Any Gender,Any Age Range,VP,51-200 employees,Neither IT nor Finance,1400
VNM,Any Gender,Any Age Range,VP,51-200 employees,Finance,1800
VNM,Any Gender,Any Age Range,VP,51-200 employees,IT,1600
VNM,Any Gender,Any Age Range,VP,11-50 employees,Neither IT nor Finance,2000
VNM,Any Gender,Any Age Range,VP,11-50 employees,Finance,2500
VNM,Any Gender,Any Age Range,VP,11-50 employees,IT,2200
