Country,Gender,Age Range,Job seniority,Company Size,Excluded Company Industry,Count
PHL,Any Gender,Any Age Range,Partner,1001-5000 employees,Neither IT nor Finance,540
PHL,Any Gender,Any Age Range,Partner,1001-5000 employees,Finance,700
PHL,Any Gender,Any Age Range,Partner,1001-5000 employees,IT,690
PHL,Any Gender,Any Age Range,Partner,501-1000 employees,Neither IT nor Finance,490
PHL,Any Gender,Any Age Range,Partner,501-1000 employees,Finance,600
PHL,Any Gender,Any Age Range,Partner,501-1000 employees,IT,640
PHL,Any Gender,Any Age Range,Partner,201-500 employees,Neither IT nor Finance,580
PHL,Any Gender,Any Age Range,Partner,201-500 employees,Finance,700
PHL,Any Gender,Any Age Range,Partner,201-500 employees,IT,700
PHL,Any Gender,Any Age Range,Partner,51-200 employees,Neither IT nor Finance,830
PHL,Any Gender,Any Age Range,Partner,51-200 employees,Finance,1100
PHL,Any Gender,Any Age Range,Partner,51-200 employees,IT,1100
PHL,Any Gender,Any Age Range,Partner,11-50 employees,Neither IT nor Finance,1400
PHL,Any Gender,Any Age Range,Partner,11-50 employees,Finance,1700
PHL,Any Gender,Any Age Range,Partner,11-50 employees,IT,1600
PHL,Any Gender,Any Age Range,Partner,2-10 employees,Neither IT nor Finance,1200
PHL,Any Gender,Any Age Range,Partner,2-10 employees,Finance,1600
PHL,Any Gender,Any Age Range,Partner,2-10 employees,IT,1400
PHL,Any Gender,Any Age Range,Partner,Myself Only,Neither IT nor Finance,0
PHL,Any Gender,Any Age Range,Partner,Myself Only,Finance,0
PHL,Any Gender,Any Age Range,Partner,Myself Only,IT,0
PHL,Any Gender,Any Age Range,CXO,Any Company Size,Neither IT nor Finance,61000
PHL,Any Gender,Any Age Range,CXO,Any Company Size,Finance,71000
PHL,Any Gender,Any Age Range,CXO,Any Company Size,IT,67000
PHL,Any Gender,Any Age Range,CXO,"10,001+ employees",Neither IT nor Finance,4800
PHL,Any Gender,Any Age Range,CXO,"10,001+ employees",Finance,5800
PHL,Any Gender,Any Age Range,CXO,"10,001+ employees",IT,5600
PHL,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Neither IT nor Finance,710
PHL,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Finance,960
PHL,Any Gender,Any Age Range,CXO,"5001-10,000 employees",IT,1100
PHL,Any Gender,Any Age Range,CXO,1001-5000 employees,Neither IT nor Finance,2100
PHL,Any Gender,Any Age Range,CXO,1001-5000 employees,Finance,2500
PHL,Any Gender,Any Age Range,CXO,1001-5000 employees,IT,2600
PHL,Any Gender,Any Age Range,CXO,501-1000 employees,Neither IT nor Finance,1700
PHL,Any Gender,Any Age Range,CXO,501-1000 employees,Finance,2000
